osmid,x,y,geometry
288748191,139.6028402,35.6586702,POINT (139.6028402 35.6586702)
343141770,139.6060382,35.662793,POINT (139.6060382 35.662793)
343141827,139.6060298,35.6623834,POINT (139.6060298 35.6623834)
343141829,139.6060433,35.661711,POINT (139.6060433 35.661711)
343142136,139.6041487,35.6637116,POINT (139.6041487 35.6637116)
343142711,139.6065518,35.6587077,POINT (139.6065518 35.6587077)
345257089,139.606318,35.66008,POINT (139.606318 35.66008)
345257355,139.6063854,35.6596844,POINT (139.6063854 35.6596844)
345257358,139.6065126,35.658938,POINT (139.6065126 35.658938)
360523770,139.6060291,35.6620728,POINT (139.6060291 35.6620728)
360523815,139.6060299,35.6620226,POINT (139.6060299 35.6620226)
360525347,139.603984,35.6628239,POINT (139.603984 35.6628239)
360527548,139.6030203,35.6584405,POINT (139.6030203 35.6584405)
360527911,139.6040752,35.6585391,POINT (139.6040752 35.6585391)
360528202,139.6048084,35.658594,POINT (139.6048084 35.658594)
473002383,139.6085595,35.6598158,POINT (139.6085595 35.6598158)
473002974,139.607421,35.6597305,POINT (139.607421 35.6597305)
473002985,139.6069823,35.6597071,POINT (139.6069823 35.6597071)
473003680,139.6074413,35.6594331,POINT (139.6074413 35.6594331)
473003694,139.6073889,35.6602002,POINT (139.6073889 35.6602002)
473005382,139.6047766,35.6599332,POINT (139.6047766 35.6599332)
473005389,139.6047296,35.6599593,POINT (139.6047296 35.6599593)
473005394,139.6046797,35.6601433,POINT (139.6046797 35.6601433)
473005401,139.6045471,35.6606404,POINT (139.6045471 35.6606404)
473005405,139.6042575,35.6617189,POINT (139.6042575 35.6617189)
473007828,139.6039468,35.6600878,POINT (139.6039468 35.6600878)
473008526,139.6062229,35.6606378,POINT (139.6062229 35.6606378)
473008530,139.606957,35.6606315,POINT (139.606957 35.6606315)
473008533,139.6073604,35.6606179,POINT (139.6073604 35.6606179)
473010841,139.6061337,35.6611617,POINT (139.6061337 35.6611617)
473013691,139.606034,35.6618887,POINT (139.606034 35.6618887)
473016168,139.6042003,35.6640695,POINT (139.6042003 35.6640695)
527940162,139.6040605,35.6631595,POINT (139.6040605 35.6631595)
569060477,139.60187,35.6603538,POINT (139.60187 35.6603538)
569060574,139.6015172,35.6607912,POINT (139.6015172 35.6607912)
569060986,139.6030451,35.6606472,POINT (139.6030451 35.6606472)
601605931,139.5997116,35.6627775,POINT (139.5997116 35.6627775)
601737331,139.6003579,35.6620834,POINT (139.6003579 35.6620834)
601737346,139.600851,35.661608,POINT (139.600851 35.661608)
601737409,139.6026562,35.6601155,POINT (139.6026562 35.6601155)
601737559,139.6030342,35.6601111,POINT (139.6030342 35.6601111)
601737646,139.6030209,35.6592159,POINT (139.6030209 35.6592159)
601737658,139.6026876,35.6590925,POINT (139.6026876 35.6590925)
601738098,139.6034746,35.6580028,POINT (139.6034746 35.6580028)
601738099,139.6037389,35.6577946,POINT (139.6037389 35.6577946)
619104028,139.6036259,35.662281,POINT (139.6036259 35.662281)
619104029,139.604093,35.6622864,POINT (139.604093 35.6622864)
619104091,139.6036326,35.6611672,POINT (139.6036326 35.6611672)
619104148,139.6044101,35.6611653,POINT (139.6044101 35.6611653)
619105557,139.6030199,35.6596045,POINT (139.6030199 35.6596045)
619105741,139.6030184,35.65949,POINT (139.6030184 35.65949)
619105755,139.6031216,35.6594811,POINT (139.6031216 35.6594811)
619105756,139.6031695,35.659357,POINT (139.6031695 35.659357)
619105757,139.603396,35.6587109,POINT (139.603396 35.6587109)
619111153,139.6048305,35.6581715,POINT (139.6048305 35.6581715)
619111156,139.6048405,35.6579361,POINT (139.6048405 35.6579361)
632221022,139.6042067,35.6574659,POINT (139.6042067 35.6574659)
759198478,139.6081333,35.6606273,POINT (139.6081333 35.6606273)
759198488,139.6081962,35.6606317,POINT (139.6081962 35.6606317)
759199567,139.608331,35.6602415,POINT (139.608331 35.6602415)
1314172189,139.6005812,35.661851,POINT (139.6005812 35.661851)
1314172366,139.6045175,35.6572622,POINT (139.6045175 35.6572622)
1314172917,139.6040956,35.6575329,POINT (139.6040956 35.6575329)
1314173094,139.6036339,35.6606489,POINT (139.6036339 35.6606489)
1314173106,139.6048167,35.6570891,POINT (139.6048167 35.6570891)
1730551914,139.6001417,35.6622966,POINT (139.6001417 35.6622966)
1730551991,139.5998561,35.6626137,POINT (139.5998561 35.6626137)
1730552073,139.6021776,35.659979,POINT (139.6021776 35.659979)
